syntax,when_used,category,examples,who_says
"RUNWAY VISUAL RANGE (or RVR) [RUNWAY (number)] (first position) (distance) (units), (second position) (distance) (units), (third position) (distance) (units).","Used for multiple RVR observationsNote 1.— Multiple RVR observations are always representative of the touchdown zone, midpoint zone and the roll-out/stop end zone, respectively.Note 2.— Where reports for three locations are given, the indication of these locations may be omitted, provided that the reports are passed in the order of touchdown zone, followed by the midpoint zone and ending with the roll-out/stop end zone report.All numbers, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,"Runway visual range runway zero niner, touchdown six hundred metres, midpoint five four zero metres, stop end five four zero metres.",The Controller
"RUNWAY VISUAL RANGE (or RVR) [RUNWAY (number)] (first position) (distance) (units), (second position) NOT AVAILABLE, (third position) (distance) (units).","Multiple RVR observations are always representative of the touchdown zone, midpoint zone and the roll-out/stop end zone respectively.Where reports for the three locations are given, the indication of these locations may be omitted, provided that the reports are passed in order of touchdown zone, followed by midpoint zone and ending with the roll-out/stop end zone report. In the event that RVR information on any one position is not available this information will be included in the appropriate sequence.All numbers, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations ofthousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,"RVR runway zero niner, touchdown six hundred metres, midpoint not available, stop end five four zero metres.",The Controller
RUNWAY VISUAL RANGE (or RVR) RUNWAY (number) NOT AVAILABLE (or NOT REPORTED).,No data,General,RVR runway zero niner not reported.,The Controller
SAY AGAIN,"Means: “Repeat all, or the following part, of your last transmission.”",General,LGL123 say again.,The Controller
SECONDARY RADAR OUT OF SERVICE (appropriate information as necessary).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 secondary radar out of service.,The Controller
SHOW LANDING LIGHTS.,No data,Aerodrome and Vicinity,LGL123 show landing lights.,The Controller
"SLIGHTLY (or WELL, or GOING) ABOVE (or BELOW) GLIDE PATH.",Radar in approach control service.PAR Approach.Elevation.,Approach Control Services,LGL123 well above glide path.,The Controller
"SLIGHTLY (or WELL, or GOING) LEFT (or RIGHT) OF TRACK.",Radar in approach control service.Related to azimuth information in PAR approach service.,Approach Control Services,LGL123 slightly left of track.,The Controller
SPEAK SLOWER,Means: “Reduce your rate of speech.”,General,LGL123 speak slower.,The Controller
SQUAWK (code).,To instruct the setting of the transponder,SSR and ADS-B Phraseologies,LGL123 squawk seven one three two.,The Controller
SQUAWK [(code)] [AND] IDENT.,To request the operation of the ident feature,SSR and ADS-B Phraseologies,LGL123 squawk ident.,The Controller
SQUAWK CHARLIE.,To request transmission of pressure altitude,SSR and ADS-B Phraseologies,LGL 123 squawk Charlie.,The Controller
SQUAWK LOW.,To request the operation of the ident feature,SSR and ADS-B Phraseologies,Blue123 squawk low.,The Controller
SQUAWK MAYDAY [CODE SEVEN-SEVEN-ZERO-ZERO].,To request emergency code,"SSR and ADS-B Phraseologies, Emergency or unusual situation",LGL123 squawk mayday. Code seven-seven-zero-zero.,The Controller
SQUAWK NORMAL.,To request the operation of the ident feature,SSR and ADS-B Phraseologies,Blue123 squawk normal.,The Controller
SQUAWK STANDBY.,To request temporary suspension of transponder operation,SSR and ADS-B Phraseologies,LGL123 squawk standby.,The Controller
STAND BY FOR (unit call sign) (frequency).,An aircraft may be requested to “STAND BY” on afrequency when it is intended that the ATS unit will initiate communications soon and to “MONITOR” a frequency when information is being broadcast thereon.,General,LGL123 stand by for Tampere control one one eight decimal zero zero five.,The Controller
STANDBY,Means: “Wait and I will call you.”Note.— The caller would normally re-establish contact if the delay is lengthy. STANDBY is not an approval or denial.,"Aircraft, General",LGL123 standby for further instructions.,The Controller
START UP APPROVED.,ATC reply when permission to start engines is requested by the pilot.,Aerodrome and Vicinity,LGL123 start up approved.,The Controller
"STOP ADS-B ALTITUDE TRANSMISSION [(WRONG INDICATION, or reason)].","To request termination of pressure altitude transmission because of faulty operation.Note.— Independent operations of Mode S transponder and ADS-B may not be possible in all aircraft (e.g. where ADS-B is solely provided by 1 090 MHz extended squitter emitted from the transponder). In such cases, aircraft may not be able to comply with ATC instructions related to ADS-B operation.","SSR and ADS-B Phraseologies, Emergency or unusual situation","LGL123 stop ADS-B altitude transmission, wrong indication.",The Controller
STOP ADS-B TRANSMISSION [SQUAWK (code) ONLY].,"To request termination of transponder and/or ADS-B transmitter operationNote.— Independent operations of Mode S transponder and ADS-B may not be possible in all aircraft (e.g. where ADS-B is solely provided by 1 090 MHz extended squitter emitted from the transponder). In such cases, aircraft may not be able to comply with ATC instructions related to ADS-B operation.",SSR and ADS-B Phraseologies,LGL123 stop ADS-B transmission.,The Controller
STOP CLIMB (or DESCENT) AT (level).,No data,General,LGL123 stop climb at FL310.,The Controller
STOP IMMEDIATELY [(repeat aircraft call sign) STOP IMMEDIATELY].,To stop a take-off after an aircraft has commenced take-off rollPilot answers: STOPPING,Aerodrome and Vicinity,"LGL123 stop immediately, LGL123 stop immediately.",The Controller
STOP SQUAWK [TRANSMIT ADS-B ONLY].,"To request termination of transponder and/or ADS-B transmitter operationNote.— Independent operations of Mode S transponder and ADS-B may not be possible in all aircraft (e.g. where ADS-B is solely provided by 1 090 MHz extended squitter emitted from the transponder). In such cases, aircraft may not be able to comply with ATC instructions related to ADS-B operation.",SSR and ADS-B Phraseologies,Blue123 stop squawk.,The Controller
STOP SQUAWK CHARLIE WRONG INDICATION,"To request termination of pressure altitude transmission because of faulty operation.Note.— Independent operations of Mode S transponder and ADS-B may not be possible in all aircraft (e.g. where ADS-B is solely provided by 1 090 MHz extended squitter emitted from the transponder). In such cases, aircraft may not be able to comply with ATC instructions related to ADS-B operation.","SSR and ADS-B Phraseologies, Emergency or unusual situation",LGL123 stop squawk Charlie wrong indication.,The Controller
STOP TURN HEADING (three digits).,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 stop turn heading one eight zero.,The Controller
STOP TURN NOW.,"ManoeuvresApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 stop turn now.,The Controller
TAKE (or TURN) FIRST (or SECOND) LEFT (or RIGHT).,To issue taxi instruction.,Aerodrome and Vicinity,LGL123 take first left.,The Controller
"TAKE (or TURN) FIRST (or SECOND, or CONVENIENT) LEFT (or RIGHT) AND CONTACT GROUND (frequency).",Instruction after landing.,Aerodrome and Vicinity,LGL123 take first left and contact ground one two one decimal six.,The Controller
TAKE OFF IMMEDIATELY OR HOLD SHORT OF RUNWAY.,When take-off clearance has not been complied with,Aerodrome and Vicinity,LGL123 take off immediately or hold short of runway.,The Controller
TAKE OFF IMMEDIATELY OR VACATE RUNWAY [(instructions)].,When take-off clearance has not been complied with,Aerodrome and Vicinity,LGL123 take off immediately or vacate runway via taxiway Bravo.,The Controller
TAKING YOU THROUGH (localiser course or radio aid) [reason].,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 taking you through localiser course for delay action.,The Controller
TAXI [VIA (identification of taxiway)] or [STRAIGHT AHEAD] and/or.  [WITH CAUTION],To issue taxi instruction.,Aerodrome and Vicinity,LGL123 taxi straight ahead.,The Controller
TAXI INTO HOLDING BAY.,To instruct an aircraft to taxi into a holding bay.,Aerodrome and Vicinity,LGL123 taxi into holding bay.,The Controller
TAXI TO HOLDING POINT [number] (followed by aerodrome information as applicable) [TIME (time)].,Where aerodrome information is not available from an alternative source such as ATIS.,Aerodrome and Vicinity,CLX315 taxi to holding point zero niner aerodrome information Bravo time four five.,The Controller
TAXI TO HOLDING POINT [number] [RUNWAY (number)] [HOLD SHORT OF RUNWAY (number) (or CROSS RUNWAY (number))] [TIME (time)].,To issue taxi instruction.,Aerodrome and Vicinity,LGL123 taxi to holding point alpha runway three four.,The Controller
TAXI TO HOLDING POINT [number] [RUNWAY (number)] VIA (specific route to be followed) [TIME (time)] [HOLD SHORT OF RUNWAY (number) (or CROSS RUNWAY (number))].,To issue taxi instruction.,Aerodrome and Vicinity,"CLX315 taxi to holding point zero niner via taxiways Golf and Yankee, time four five.",The Controller
"TAXI TO HOLDING POINT [number] [RUNWAY (number)] VIA (specific route to be followed), [HOLD SHORT OF RUNWAY (number)] or [CROSS RUNWAY (number)]. [REPORT VACATED]","To cross runwayPilot Answers: RUNWAY VACATED. Note.— The pilot will, when requested, report “RUNWAY VACATED” when the entire aircraft is beyond the relevant runway-holding position.",Aerodrome and Vicinity,"LGL123 taxi to holding point charly runway zero niner via taxiway bravo, cross runway one eight, report vacated.",The Controller
"TAXI TO TERMINAL (or other location, e.g. GENERAL AVIATION AREA) [STAND (number)].",To issue taxi instruction.,Aerodrome and Vicinity,LGL123 taxi to terminal stand one four.,The Controller
TAXI VIA RUNWAY (number).,To issue taxi instruction.,Aerodrome and Vicinity,LGL123 taxi via runway one niner.,The Controller
TAXIWAY LIGHTING (description of deficiency).,To inform pilots of operational status of visual and non-visual aids.,Aerodrome and Vicinity,LGL123 taxiway lighting partly unserviceable.,The Controller
TCAS RA.,After a flight crew starts to deviate from any ATC clearance or instruction to comply with an ACAS resolution advisory (RA). Controller answers ROGER.,"Emergency or unusual situation, Aircraft, General",LGL123 TCAS RA.,The Pilot
TEMPERATURE [MINUS] (number) (and/or DEWPOINT [MINUS] (number)).,Temperature report.,General,Temperature minus two dew-point minus two.,The Controller
THIS TURN WILL TAKE YOU THROUGH (localiser course or radio aid) [reason].,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 this turn will take you through Horn radial two six niner due traffic.,The Controller
THIS WILL BE A PRECISION RADAR APPROACH RUNWAY (number).,Radar in approach control serviceExplains provision of PAR approach service,Approach Control Services,LGL123 this will be a precision radar approach runway zero niner.,The Controller
"THIS WILL BE A SURVEILLANCE RADAR APPROACH RUNWAY (number) TERMINATING AT (distance) FROM TOUCHDOWN, OBSTACLE CLEARANCE ALTITUDE (or HEIGHT) (number) METRES (or FEET) CHECK YOUR MINIMA [IN CASE OF GO AROUND (instructions)].",Surveillance radar approach. Radar in approach control service. Explains provision of surveillance radar approach service.,Approach Control Services,"LGL123 this will be a surveillance approach runway zero niner terminating at eight NM from touchdown, obstacle clearance altitude five hundred feet check your minima.",The Controller
Thousand,Transmission of numbers.,General,TOU-SAND,The Controller
TIME (time).,To request a time check,Aerodrome and Vicinity,LGL123 time four five.,The Controller
TOW APPROVED VIA (specific routing to be followed). or HOLD POSITION or STAND BY,No data,Aerodrome and Vicinity,"Tow vehicle one, tow approved via taxiways Foxtrot, Yankee and Delta, cross runway zero niner/two seven and via runway zero one to apron North.",The Controller
TOWER OBSERVES (weather information).,To pass information on aerodrome conditions.,Aerodrome and Vicinity,Tower observes thunderstorm activity north of airfield.,The Controller
"TRACK (three digits) DEGREES [MAGNETIC (or TRUE)] TO (or FROM) (significant point) UNTIL (time, or REACHING (fix or significant point or level)) [BEFORE PROCEEDING ON COURSE].",To assign a route to follow after airborne.,"Approach Control Services, Aerodrome and Vicinity",LGL123 track one zero zero degrees to TOR until reaching altitude five thousand feet before proceeding on course.,The Controller
TRACK EXTENDED CENTRE LINE (instructions).,Turn or climb instructions after take off.When a specific track is to be followed.,Aerodrome and Vicinity,LGL123 track extended centre line until five thousand feet.,The Controller
TRAFFIC (information),"To pass traffic information.To acknowledge pilot answers (one of the following three): LOOKING OUT, TRAFFIC IN SIGHT, or NEGATIVE CONTACT [reasons].",General,LGL123 traffic a Saab three four zero passed Skiro time one two flight level one eight zero estimate Horn time two one.,The Controller
TRAFFIC (number) O’CLOCK (distance) (direction of flight) [any other pertinent information]: 1) UNKNOWN. 2) SLOW MOVING. 3) FAST MOVING. 4) CLOSING. 5) OPPOSITE (or SAME) DIRECTION. 6) OVERTAKING. 7) CROSSING LEFT TO RIGHT (or RIGHT TO LEFT). 8) (aircraft type). 9) (level). 10) CLIMBING (or DESCENDING).,Items 8 and 9 if knownTo request avoiding action pilot replies: REQUEST VECTORS,General ATS Surveillance Service Phraseologies,"LGL123 Traffic two o’clock seven miles northbound, unknown, crossing right to left.",The Controller
TRAFFIC (or type of aircraft) IN SIGHT.,Pilot's response when instructed to give way or follow while taxing.,Aerodrome and Vicinity,LGL123 traffic in sight.,The Pilot
TRANSMIT ADS-B ALTITUDE,To request transmission of pressure altitude,SSR and ADS-B Phraseologies,LGL123 transmit ADS-B altitude.,The Controller
TRANSMIT ADS-B IDENT.,To request the operation of the ident feature,SSR and ADS-B Phraseologies,LGL123 transmit ADS-B IDENT.,The Controller
TRANSMIT FOR IDENTIFICATION AND REPORT HEADING.,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 transmit for identification and report heading.,The Controller
TURN LEFT (or RIGHT) (number of degrees) DEGREES [reason].,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 turn left five degrees.,The Controller
TURN LEFT (or RIGHT) (number of degrees) DEGREES IMMEDIATELY TO AVOID [UNIDENTIFIED] TRAFFIC AT (bearing by clock-reference and distance).,For avoiding action.,General ATS Surveillance Service Phraseologies,LGL123 turn left three zero degrees immediately to avoid traffic at one o’clock six miles.,The Controller
"TURN LEFT (or RIGHT) (number) DEGREES (or HEADING) (three digits) IMMEDIATELY TO AVOID TRAFFIC [DEVIATING FROM ADJACENT APPROACH], CLIMB TO (altitude).",Manoeuvre during independent and dependent parallel approachesRadar in approach control service For avoidance action when an aircraft is observed penetrating the NTZ,Approach Control Services,"LGL123 turn right four zero degrees immediately to avoid traffic deviating from adjacent approach, climb to five thousand feet.",The Controller
TURN LEFT (or RIGHT) HEADING (three digits) [reason].,"VectoringApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 turn right heading two five zero due traffic.,The Controller
TURN LEFT (or RIGHT) HEADING (three digits) [TO INTERCEPT] or [REPORT ESTABLISHED].,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.Instructions and information.,Approach Control Services,LGL123 turn right heading one one zero to intercept.,The Controller
TURN LEFT (or RIGHT) IMMEDIATELY HEADING (three digits) TO AVOID [UNIDENTIFIED] TRAFFIC (bearing by clock-reference and distance).,For avoiding action,General ATS Surveillance Service Phraseologies,LGL123 turn left immediately heading two five zero to avoid unidentified traffic at two o’clock six miles.,The Controller
TURN LEFT (or RIGHT) NOW,"ManoeuvresApplicable when an ATS surveillance system is used in the provision of ATSNote.— When it is necessary to specify a reason for vectoring or for the above manoeuvres, the following phraseologies should be used:a) DUE TRAFFIC.b) FOR SPACING.c) FOR DELAY.d) FOR DOWNWIND (or BASE, or FINAL).",General ATS Surveillance Service Phraseologies,LGL123 turn left now.,The Controller
"TURN RIGHT (or LEFT) HEADING (three digits) TO (level) [TO INTERCEPT (track, route, airway, etc.)].",To assign a route to follow after airborne.,"Approach Control Services, Aerodrome and Vicinity",LGL123 turn left heading zero two zero to FL70 to intercept upper Mike eight five one.,The Controller
UNABLE,"Means: “I cannot comply with your request, instruction, or clearance.”Note.— UNABLE is normally followed by a reason.",General,"LGL123, if unable maintain FL210 and advise.",The Controller
UNABLE (aircraft call sign) [TRAFFIC IS (details)].,By approving unit when not able to release an aircraft.,Coordination between ATS Units,Unable LGL123 traffic is airbus three ten crossing left to right.,The Controller
UNABLE (aircraft call sign).,Change of clearance. Said by approving unit.,Coordination between ATS Units,Unable LGL123.,The Controller
"UNABLE (desired route, level, etc.) [FOR (aircraft call sign)] [DUE (reason)] (alternative clearance proposed).",Change of clearance. Said by approving unit.,Coordination between ATS Units,Unable to proceed via FINDO for LGL123 due to military activity.,The Controller
"UNABLE ISSUE CLEARANCE INTO RVSM AIRSPACE, MAINTAIN [or DESCEND TO, or CLIMB TO] (level).",To deny ATC clearance into RVSM airspace,Area Control Services,"LGL123 unable clearance into RVSM airspace, maintain FL280.",The Controller
"UNABLE RNP (specify type) (or RNAV) [DUE TO (reason, e.g. LOSS OF RAIM or RAIM ALERT)].",No data,"Aircraft, General",LGL123 unable RNAV due to equipment.,The Pilot
UNABLE RVSM DUE EQUIPMENT,To report that the equipment of an aircraft has degraded below minimum aviation system performance standards,"Area Control Services, Aircraft","LGL123, unable RVSM due equipment.",The Pilot
UNABLE RVSM DUE TURBULENCE,To report when severe turbulence affects the capability of an aircraft to maintain height-keeping requirements for RVSM,"Area Control Services, Aircraft","LGL123, unable RVSM due turbulence.",The Pilot
"UNABLE RVSM DUE TURBULENCE (or EQUIPMENT, as applicable).","To communicate the cause of a contingency relating to an aircraft that is unable to conduct RVSM operations due to severe turbulence or other severe meteorological phenomena or equipment failure, asapplicable",Coordination between ATS Units,Unable RVSM due turbulence.,The Controller
UNABLE TO ISSUE (designator) DEPARTURE (reasons),When not able to issue the requested departure (SID).,Aerodrome and Vicinity,No data.,The Controller
"UNABLE, TCAS RA","After an ATC clearance or instruction contradictory to the ACAS RA is received, the flight crew will follow the RA and inform ATC directly. Controller answers ROGER.","Emergency or unusual situation, Aircraft, General","LGL123 unable, TCAS RA.",The Pilot
"UNABLE, TRAFFIC (direction) BOUND (type of aircraft) (level) ESTIMATED (or OVER) (significant point) AT (time) CALL SIGN (call sign) ADVISE INTENTIONS.",When clearance for deviation cannot be issued,Area Control Services,"LGL123 unable, traffic westbound Boeing seven three seven, same level, over GORLU at time thee six call sign DLH567, advise intentions.",The Controller
UNABLE.,When a pilot is unable to comply with a clearance or instruction.,"Aircraft, General","Unable to comply, LGL123.",The Pilot
VACATE RUNWAY.,Pilot transmission is RUNWAY VACATED.,Aerodrome and Vicinity,LGL123 vacate runway.,The Controller
VECTORING FOR (positioning in the circuit).,Radar in approach control service.,Approach Control Services,LGL123 vectoring for base leg.,The Controller
VECTORING FOR (type of pilot-interpreted aid) APPROACH RUNWAY (number).,Radar in approach control service.,Approach Control Services,LGL123 vectoring for NDB approach runway zero niner.,The Controller
VECTORING FOR PRECISION APPROACH RUNWAY (number).,Radar in approach control service.,Approach Control Services,LGL123 vectoring for precision approach runway zero niner.,The Controller
VECTORING FOR SURVEILLANCE RADAR APPROACH RUNWAY (number).,Radar in approach control service.,Approach Control Services,LGL123 vectoring for surveillance radar approach runway zero niner.,The Controller
VECTORING FOR VISUAL APPROACH RUNWAY (number) REPORT FIELD (or RUNWAY) IN SIGHT.,Radar in approach control service.,Approach Control Services,LGL123 vectoring for visual approach runway zero niner report field in sight.,The Controller
VISIBILITY (distance) (units) [direction].,To report visibility.,General,Visibility eight kilometers,The Controller
WHEELS APPEAR UP,When pilot requested visual inspection of landing gear,Aerodrome and Vicinity,SBC wheels appear up.,The Controller
WHEN READY CLIMB (or DESCEND) TO (level).,No data,General,LGL123 when ready descend to FL310.,The Controller
WHEN READY CONTACT (unit call sign) (frequency).,Transfer of control and/or frequency change.,General,LGL123 when ready contact Tampere control one two four decimal one five.,The Controller
WHEN VACATED CONTACT GROUND (frequency).,Runway vacating and communications after landing.,Aerodrome and Vicinity,LGL123 when vacated contact ground one two one decimal six.,The Controller
WILCO,Means: “I understand your message and will comply with it.”(Abbreviation for “will comply”.),General,"Wilco, LGL123.",The Controller
WILL ADVISE LATER FOR RIGHT (or LEFT) TURN,Turn or climb instructions after take off,Aerodrome and Vicinity,LGL123 will advise later for right turn.,The Controller
WILL SHORTLY LOSE IDENTIFICATION (appropriate instructions or information).,Applicable when an ATS surveillance system is used in the provision of ATS,General ATS Surveillance Service Phraseologies,LGL123 will shortly lose identification due to radar coverage.,The Controller
WIND AT (level) (number) DEGREES (number) KILOMETRES PER HOUR (or KNOTS).,"Note.— Wind is always expressed by giving the mean direction and speed and any significant variations thereof.All numbers, except those used in the transmission of altitude, cloud height, visibility and runway visual range (RVR) information, which contain whole hundreds and whole thousands, shall be transmitted by pronouncing each digit in the number of hundreds or thousands followed by the word HUNDRED or THOUSAND as appropriate. Combinations of thousands and whole hundreds shall be transmitted by pronouncing each digit in the number of thousands followed by the word THOUSAND followed by the number of hundreds followed by the word HUNDRED.",General,"Wind at five hundred feet, one zero zero degrees two niner knots.",The Controller
WORDS TWICE,"Means: a) As a request: “Communication is difficult. Please send every word, or group of words, twice.”b) As information: “Since communication is difficult, every word, or group of words, in this message will be sent twice.”",General,"LGL123 words twice, I say again words twice.",The Controller
YOU HAVE CROSSED THE localiser (or GBAS/SBAS/MLS FINAL APPROACH COURSE). TURN LEFT (or RIGHT) IMMEDIATELY AND RETURN TO THE localiser (or GBAS/SBAS/MLS FINAL APPROACH COURSE).,Manoeuvre during independent and dependent parallel approachesRadar in approach control service,Approach Control Services,"LGL123 you have crossed the localiser, turn left immediately and return to the localiser.",The Controller
YOU WILL INTERCEPT (radio aid or track) (distance) FROM (significant point or TOUCHDOWN).,Radar in approach control service.Vectoring for ILS and other pilot-interpreted aids.,Approach Control Services,LGL123 you will intercept track zero niner zero eight miles from Oscar Whisky.,The Controller
YOUR STAND (or GATE) (designation).,Information after landing.,Aerodrome and Vicinity,LGL123 your stand one four.,The Controller
